title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Zero-Knowledge Proof Based Blockchain-enabled Personal Credit Scoring with SHAP Explainability,"J Yang, H Li, M Zhang, Y Zhang",2026.0,0,"… However, since the core contribution of this work lies in constructing a trustworthy audit loop … interpretability of machine learning model decisions, this study proposes a verifiable and …",HQfQ5HoFTTsJ,"J Yang, H Li, M Zhang, Y Zhang - Journal of Information and Intelligence, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2949715926000685,unknown,unknown
Privacy preserving and auditable tax fraud detection using zero knowledge transformer inference,Y Liu,2026.0,0,"… term verifiable inference refers to the cryptographic ability to prove that a specific machine learning … by embedding zero-knowledge proofs, allowing auditors to verify compliance related …",Ij3YY6PfwLkJ,"Y Liu - Discover Artificial Intelligence, 2026 - Springer",['https://link.springer.com/content/pdf/10.1007/s44163-026-01882-0_reference.pdf'],https://link.springer.com/content/pdf/10.1007/s44163-026-01882-0_reference.pdf,unknown,unknown
PoL-BFL: Towards Trustworthy Federated Learning with Zero-Knowledge Proofs and Verifiable Incentives,"X Wei, Y Chen, J Hu, Z Sun, T Wang, B Niu",2026.0,0,… audited clients to generate a zero-knowledge proof attesting to the correct execution of local training… PoL-BFL against algorithmic FL defenses under the same learning tasks and attacks…,WNirmbm0E9AJ,"X Wei, Y Chen, J Hu, Z Sun, T Wang, B Niu - Proceedings of the 32nd …, 2026 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3770855.3817739'],https://dl.acm.org/doi/abs/10.1145/3770855.3817739,unknown,unknown
The Price of Greenwashing: Algorithmic Verification and Market Discipline using Conformal Machine Learning,"S Bose, T Bouraoui",,0,"… proof of market discipline regarding physical climate risk. We demonstrate that despite severe information asymmetry and the lack of algorithmic auditing … , algorithmically verifiable …",shUevDu8fukJ,"S Bose, T Bouraoui - Available at SSRN 7290498, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7290498'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7290498,unknown,unknown
A blockchain-verified explainable AI pipeline for multi-scale agri-food carbon accounting,"SB Abdullahi, T Mahbub",2026.0,0,"… traceability, and equitable algorithmic governance. We present a … -verified record tracking, and explainable machine learning … and Sustainability Auditing: We implement an algorithmic …",wqd_CuAZg4EJ,"SB Abdullahi, T Mahbub - Computers & Industrial Engineering, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S036083522600505X,unknown,unknown
CMA-ZK: Chunked Mask Commitments for Zero-Knowledge-Ready Auditing of Federated Unlearning,"A Parker, C Harris, B Walker",2026.0,0,… training information to provide evidence of a learning … verifiable unlearning from a monolithic retraining bottleneck into a parallel local workflow without disclosing raw educational data …,gvWDpWCfaKcJ,"A Parker, C Harris, B Walker - Advances in Science and Engineering, 2026 - callpress.org",['https://callpress.org/index.php/ase/article/download/408/265'],https://callpress.org/index.php/ase/article/view/408,unknown,unknown
Manipulation-Proof Oblivious Audits against Deceptive Model Providers,"A Godinot, S Azogagh, J Ferry, S Gambs",2026.0,0,"… Audits have emerged as a critical instrument for algorithmic … tools to provide verifiable guarantees. Shamsabadi et al. (… of auditing, cryptography and trustworthy machine learning, and …",DEi87GkpvOUJ,"A Godinot, S Azogagh, J Ferry, S Gambs - arXiv preprint arXiv:2608.04365, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.04365'],https://arxiv.org/abs/2608.04365,unknown,unknown
FinTech and AI technologies for Enhancing Evidence Verification and Dispute Resolution in Financial Litigation,"MS Jaradat, MM Rabab'ah",2026.0,1,"… conventional human-audited or paperbased evidence. The gap … deploy understandable machine learning algorithms such as … them into integrityverified evidence packages, and making …",vRozCCtIdDQJ,"MS Jaradat, MM Rabab'ah - Int. J. Advance Soft Compu. Appl, 2026 - journals.zuj.edu.jo",['https://journals.zuj.edu.jo/ijasca/PapersUploaded/2026.1.22.pdf'],https://journals.zuj.edu.jo/ijasca/PapersUploaded/2026.1.22.pdf,unknown,unknown
"Design of an XAI-Enhanced Machine Learning Audit Model for Ethical, Technical, and Regulatory Compliance in the European Financial Sector","M Ixcol, J Noelia",2026.0,0,"… to perform automated evidence-based auditing procedures. The … , EU/IE financial regulations with XAI, and algorithmic … declared compliance and verifiable proof. Ethical Alignment and …",d_U4PhFF_H8J,"M Ixcol, J Noelia - 2026 - norma.ncirl.ie",['https://norma.ncirl.ie/9576/1/jenyffernoeliamazatixcol.pdf'],https://norma.ncirl.ie/id/eprint/9576,unknown,unknown
Integrating Blockchain Security and Machine Learning for Fraud Detection in the US Banking System,"MM Mia, MK Roy, IKMS YASSAR…",2025.0,7,"… machine learning algorithms were … verified, making it nearly impossible to alter or delete fraudulent records. This immutable audit trail ensured that the input data remained tamper-proof, …",D8JH0e3GGrQJ,"MM Mia, MK Roy, IKMS YASSAR… - The USA Journals …, 2025 - usajournal.net",['https://usajournal.net/index.php/tujtajet/article/download/456/453'],https://usajournal.net/index.php/tujtajet/article/view/456,unknown,unknown
Manipulation-Proof Oblivious Audits against Deceptive Model Providers,"A Godinot, S Azogagh, J Ferry, S Gambs",2026.0,0,"… Audits have emerged as a critical instrument for algorithmic … tools to provide verifiable guarantees. Shamsabadi et al. (… of auditing, cryptography and trustworthy machine learning, and …",DEi87GkpvOUJ,"A Godinot, S Azogagh, J Ferry, S Gambs - arXiv preprint arXiv:2608.04365, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.04365'],https://arxiv.org/abs/2608.04365,unknown,unknown
